..\imagens_para_conversao\OrangeLeft: .word 16, 16
.byte 199,199,199,0,0,0,0,0,0,199,199,199,199,199,199,199,
199,199,0,0,92,92,92,92,0,0,199,199,199,199,199,199,
199,199,0,92,0,0,0,92,92,0,0,0,199,199,199,199,
199,199,0,92,10,0,77,0,0,0,77,77,0,199,199,199,
199,199,0,10,10,0,86,86,86,86,86,77,0,199,199,199,
199,199,199,0,0,0,86,86,86,86,77,77,0,199,199,199,
199,199,199,0,11,11,11,86,86,77,77,11,0,199,199,199,
199,199,199,0,77,0,11,11,86,86,86,77,0,199,199,199,
199,199,199,0,77,0,0,77,86,86,77,11,0,199,199,199,
199,199,199,0,86,86,86,86,86,77,77,77,0,199,199,199,
199,199,199,199,0,0,11,11,11,11,0,0,199,199,199,199,
199,199,199,199,199,0,11,86,86,11,0,199,199,199,199,199,
199,199,199,199,199,0,77,86,86,77,0,199,199,199,199,199,
199,199,199,199,199,0,77,86,86,77,0,199,199,199,199,199,
199,199,199,199,199,199,0,11,77,0,199,199,199,199,199,199,
199,199,199,199,199,199,0,77,77,0,199,199,199,199,199,199,


